,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
0,48295,-14,1096,"first, what is the proper terminology for a ""string"" in tex/latex that is an argument for a macro? e.g., \macro{somestring} obviously somestring is a token, set of tokens, string, argument, etc. i will call it a string since i do not know what else to call it. i'm not thinking it is another macro but sort of ""inert"" text. what i want to be able to do is parse a string that represents  has_external_tag  in latex but cod has_external_tag ied in a very simple way: the best way to describe it is to give an example the follow string x4y3[cgreen, t4[-3,4,a90]] represents setting properties x-position = 4 y-position = 3  has_external_tag  = green test = 4 with x offset -3, y offset 4 and  has_external_tag  90 [ ] = optional (optional list of optional spec has_external_tag iers in no particular order) it should be very self explanatory how i went from the condensed string to the properties it represents.  has_external_tag  not stare at the string for a few hours. you should be able to read the string and tell exactly what it means after knowing what the indicator  has_external_tag  are. (this is no d has_external_tag ferent than what  has_external_tag  does with it's spec has_external_tag ication string except mine is a little more complex) now the hard part, i want to be able to parse that string into a series of  has_external_tag  that set data. as you can probably guess it, the string represents something to do with placing a graphic at a location.  has_external_tag  you want to have some interpretation for x4y3[cgreen, t4[-3,4,a90]] to make you feel better: place a green circle at  has_external_tag (4,3) with a piece of text ""4"" offset (-3,4) from it and rotated 90  has_external_tag . to do this cleanly and efficiently i would like to create  has_external_tag  that are called for each corresponding macro in the string \def\x#1{} \def\y#1{} \def\c#1{} \def\t#1#2{} so we could see the string as simply calling \x{-3}\y{4}\c{green}\t{4}{-3,4,a90} so as you can see the string is just a ""condensed"" version of a macro. the string simply is a command value pair with possible optional arguments. one could almost simply go in and add \'s and  has_external_tag  to get the command. for example, pseudo- has_external_tag : parse_string{  has_external_tag  token in command-list  has_external_tag  '\'token'{'next_token'}' } but i would like to add commands/ has_external_tag  that have more than one character (the smallest token  has_external_tag  would take precedence) and do other things like default values. anyways, as usual this is relatively straightforward in most procedural  has_attached_tag   has_external_tag  but i'm sure i'll spend the next few weeks trying to figure out how to do it in tex/latex and then 10k lines of  has_external_tag  later i'll probably end up with a buggy as hell version.",Stringified commands to macros sequence,2,12,48320.0,11637.0,2012-03-16 20:29:53,<macros><parsing><xparse>,2014-06-21 23:52:42,-1,3203
1,54830,-6,295,i'll appreciate suggestions for a  has_external_tag  that create the following nice visualization of frame-dragging (or anything alike):,tikz code for frame dragging,1,4,54862.0,1999.0,2012-05-07 19:39:52,<tikz-pgf>,,-1,232
2,3,139,34464,"i have heard rumors that you can compile documents  has_external_tag , and more spec has_external_tag ically that google has a free  has_external_tag  compiler, but i have never been able to find any. is there a way to compile documents  has_external_tag , so that i can  has_external_tag  and compile documents even  has_external_tag  i don't have a tex distribution installed on my computer?",Compiling documents online,17,3,6.0,14.0,2010-07-26 19:18:48,<compiling><tools><online>,,1,324
3,11,182,26186,"which book (free or otherwise) was the most useful to you when you started  has_external_tag  latex? i am frequently asked this question by friends who want to learn latex, and i recommend the book which got me started, the not so short introduction to latex2ε, but i feel that there might be better  has_external_tag  around. also see latex introductions in  has_external_tag  other than english.",What are good learning resources for a LaTeX beginner?,21,4,,14.0,2010-07-26 19:26:16,<books><big-list><learning><tutorials>,,1,599
4,14,263,32828,"i know what my symbol or character looks like, but i don't know what the command is or which math  has_external_tag  it came from. how do i go about finding this out?",How to look up a symbol or identify a math symbol or character?,11,2,21.0,39.0,2010-07-26 19:28:46,<symbols>,,1,168
5,15,66,13256,what's the best strategy for spell checking latex documents?,Spell checking LaTeX documents,8,1,,55.0,2010-07-26 19:28:47,<tools><spelling><proofreading>,,1,72
6,35,66,22087,"i often see  has_external_tag  from tex with the warning overfull hbox,  has_external_tag  10000. what does this message mean?","What does ""overfull hbox"" mean?",2,5,16439.0,60.0,2010-07-26 19:38:54,<line-breaking><boxes><warnings>,,1,128
7,36,237,36822,"i’m interested in the differences and commonalities between the “new” (la)tex processors:  has_external_tag ,  has_external_tag , and  has_external_tag . personally, i’ve only used  has_external_tag  so far and without having the time to try out all three systems, i’m having a surprisingly hard time setting them off from one each other. as i understand it, these systems are actually very different in some regards. so i’m explicitly asking for strengths and weaknesses in every-day use (whatever that is), rather than very special scenarios. (i’ve already asked a similar question on super user some time ago.)","Differences between LuaTeX, ConTeXt and XeTeX",5,7,72.0,42.0,2010-07-26 19:39:09,<xetex><luatex><context>,,1,962
8,42,78,6047,"i would like to have my whole document showing a blank line (or space) between  has_external_tag  and no  has_external_tag . i know how to do it line by line, but is there a way to change that with just one or a few lines at the beginning of the document? like a package you can install, or a new command?",Is there an easy way to have my whole document with a space between paragraphs rather than indentation?,5,1,57.0,14.0,2010-07-26 19:42:19,<packages><spacing><indentation><paragraphs><parskip>,,1,302
9,49,71,16442,i know latex and i've heard that latex is a set of  has_external_tag  in tex. but what does it exactly mean?,What is the difference between TeX and LaTeX?,5,1,85.0,69.0,2010-07-26 19:46:45,<tex-core><latex-project>,,1,112
